2024-05-23 21:34:50 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Region')]/ancestor::div[2]]
2024-05-23 21:34:51 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'Region')]/ancestor::div[2]]clicked
2024-05-23 21:34:51 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'South Carolina (us-east1)')]/ancestor::li]
2024-05-23 21:34:51 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (8cf9079a-88a9-4e25-982a-7bfd3d54013b)] -> xpath: //span[contains(text(), 'South Carolina (us-east1)')]/ancestor::li]clicked
2024-05-23 21:34:51 INFO  :83 - Datacenter Location 'South Carolina (us-east1)' selected
2024-05-23 21:39:44 INFO  :24 - Google Cloud homepage opened
2024-05-23 21:39:50 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 21:39:50 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 21:39:50 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 21:39:51 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
2024-05-23 21:39:54 INFO  :50 - Web element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]'clicked
2024-05-23 21:39:54 INFO  :26 - Google Cloud Pricing Calculator page opened
2024-05-23 21:39:54 INFO  :35 - [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //c-wiz[1]//button] clicked
2024-05-23 21:39:55 INFO  :35 - [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //div[h2/text()='Compute Engine']] clicked
2024-05-23 21:39:56 INFO  :56 - Number of instances '4' selected
2024-05-23 21:39:56 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]
2024-05-23 21:39:57 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]clicked
2024-05-23 21:39:57 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]
2024-05-23 21:39:57 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]clicked
2024-05-23 21:39:57 INFO  :60 - Operation system software 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)' selected
2024-05-23 21:39:57 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]
2024-05-23 21:39:58 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]clicked
2024-05-23 21:39:58 INFO  :63 - Provision model 'Regular' selected
2024-05-23 21:39:58 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]
2024-05-23 21:39:58 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]clicked
2024-05-23 21:39:58 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]
2024-05-23 21:39:59 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]clicked
2024-05-23 21:39:59 INFO  :67 - Machine family 'General Purpose' selected
2024-05-23 21:39:59 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]
2024-05-23 21:39:59 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]clicked
2024-05-23 21:39:59 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]
2024-05-23 21:39:59 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]clicked
2024-05-23 21:39:59 INFO  :71 - Series 'N1' selected
2024-05-23 21:39:59 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]
2024-05-23 21:40:00 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]clicked
2024-05-23 21:40:00 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]
2024-05-23 21:40:00 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]clicked
2024-05-23 21:40:00 INFO  :75 - machine type 'n1-standard-8' selected
2024-05-23 21:40:00 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //button[contains(@aria-label, 'Add GPUs')]/ancestor::div[4]]
2024-05-23 21:40:01 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //button[contains(@aria-label, 'Add GPUs')]/ancestor::div[4]]clicked
2024-05-23 21:40:01 INFO  :80 - Added GPUS 'true' selected
2024-05-23 21:40:01 INFO  :39 - Trying to click web element Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(), 'GPU Model')]/ancestor::div[2]'
2024-05-23 21:40:01 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (527e17c1-8ec4-4be9-9222-6d9f316c638b)] -> xpath: //span[contains(text(), 'GPU Model')]/ancestor::div[2]]clicked
2024-05-23 21:46:05 INFO  :24 - Google Cloud homepage opened
2024-05-23 21:46:08 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 21:46:08 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 21:46:08 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 21:46:10 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
2024-05-23 21:46:11 INFO  :50 - Web element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]'clicked
2024-05-23 21:46:11 INFO  :26 - Google Cloud Pricing Calculator page opened
2024-05-23 21:46:12 INFO  :35 - [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //c-wiz[1]//button] clicked
2024-05-23 21:46:13 INFO  :35 - [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //div[h2/text()='Compute Engine']] clicked
2024-05-23 21:46:13 INFO  :56 - Number of instances '4' selected
2024-05-23 21:46:14 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]
2024-05-23 21:46:14 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]clicked
2024-05-23 21:46:14 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]
2024-05-23 21:46:14 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]clicked
2024-05-23 21:46:14 INFO  :60 - Operation system software 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)' selected
2024-05-23 21:46:14 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]
2024-05-23 21:46:15 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //label[contains(text(), 'Regular')]/parent::*]clicked
2024-05-23 21:46:15 INFO  :63 - Provision model 'Regular' selected
2024-05-23 21:46:15 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]
2024-05-23 21:46:15 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Machine Family')]/ancestor::div[2]]clicked
2024-05-23 21:46:15 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]
2024-05-23 21:46:16 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'General Purpose')]/ancestor::li]clicked
2024-05-23 21:46:16 INFO  :67 - Machine family 'General Purpose' selected
2024-05-23 21:46:16 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]
2024-05-23 21:46:16 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Series')]/ancestor::div[2]]clicked
2024-05-23 21:46:16 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]
2024-05-23 21:46:16 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'N1')]/ancestor::li]clicked
2024-05-23 21:46:16 INFO  :71 - Series 'N1' selected
2024-05-23 21:46:16 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]
2024-05-23 21:46:17 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'Machine type')]/ancestor::div[2]]clicked
2024-05-23 21:46:17 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]
